,arrival_lambda,bus_seats,bus_stops,waiting_time_mean,waiting_time_std,time_in_system_mean,time_in_system_std,customers_upon_arrival_mean,customers_upon_arrival_std
0,5,10,5,74.58703987732605,3.8502133682922626,78.08990387732605,3.865926370797953,222.375402,10.327533529570166
1,5,10,10,198.1124936922344,4.555552263324071,204.10975569223442,4.576894260548928,339.704994,6.89664723774995
2,5,10,20,445.4593616708694,5.552506339344718,456.4604916708694,5.596749566814795,414.39873600000004,3.756868307287867
3,5,50,5,0.0,0.0,3.4991619999999997,0.03531537563158573,17.291076,0.603122947850602
4,5,50,10,9.595850127308678e-05,0.0006341400425449677,6.000827958501273,0.04906351588128116,29.404468,0.9421405080857099
5,5,50,20,9.701448753606819,3.3159938214526536,20.70246875360682,3.3288384538475655,92.19012,15.118224812642522
6,5,100,5,0.0,0.0,3.49858,0.03526272252677038,17.29121,0.6044411054023376
7,5,100,10,0.0,0.0,5.997442,0.047963263400231645,29.496968000000003,0.982259859190021
8,5,100,20,0.0,0.0,10.992864,0.07144251888056584,53.289266,1.7279563533966937
9,20,10,5,148.41719007783328,2.101561185849491,151.9184600778333,2.1285838119169687,433.203346,3.191770469548835
10,20,10,10,272.076930027748,2.9368349789597623,278.07967402774807,2.978801439875079,462.692076,1.9853711406747112
11,20,10,20,519.6598111595299,4.333990448346372,530.66238115953,4.395442426735202,481.569788,1.123622633741418
12,20,50,5,9.408328621458084,0.8999059636913527,12.910762621458083,0.9082801758715978,182.45074199999996,12.673842851930743
13,20,50,10,33.10844773547077,1.0184919164049473,39.10648773547077,1.0404173556912393,324.06511800000004,7.775162159085557
14,20,50,20,80.4671993578565,1.201498073833803,91.4650033578565,1.2458776454329026,413.509412,4.2567497237042256
15,20,100,5,5.503381132323747e-05,0.00048444354650533506,3.4995990338113234,0.03443470833637718,67.180802,2.3057590409225335
16,20,100,10,4.283551072305748,0.8310361962181527,10.282897072305751,0.8470753608839814,165.70935200000002,13.755721401078754
17,20,100,20,26.86326703680431,0.9058340523782632,37.86433703680431,0.9402786879954776,338.165776,7.664384504304569
18,50,10,5,163.2113259635927,2.1207376840293537,166.71125196359273,2.1510009622773456,475.54489,1.8057417074155433
19,50,10,10,286.90481598449765,3.0347874276137095,292.90353798449763,3.08002507900177,487.43637199999995,1.0686935340012123
20,50,10,20,534.28577367067,4.083715645231842,545.28655167067,4.144795221348529,494.82023,0.5449107276426132
21,50,50,5,23.58071185130164,0.5056984346320645,27.07992385130164,0.5267365822003054,384.763298,5.811030290507528
22,50,50,10,47.303504008105925,0.6459838656517544,53.304936008105926,0.6837795674110344,441.691004,3.2821814440984225
23,50,50,20,94.76355088457454,0.8425100892035421,105.75939488457452,0.8971769780408229,477.27542000000005,1.6358211844819701
24,50,100,5,6.624430491547386,0.3769879563160961,10.125630491547387,0.3943261808986498,283.41542599999997,10.237038479390609
25,50,100,10,17.849684959124133,0.4058202057658446,23.848156959124132,0.43233338382388226,391.003614,5.756382719816673
26,50,100,20,40.325293140080014,0.5220632295127997,51.32779314008002,0.5766023304290306,457.888344,3.014859768822424
